,,open,high,low,close,volume,value,SMA_5,EMA_5,SMA_10,EMA_10,SMA_20,EMA_20,SMA_60,EMA_60,SMA_120,EMA_120,SMA_50,SMA_200,Signal,RSI_7,RSI_14,RSI_21,STOCHk_14_3_3,STOCHd_14_3_3,MACD,Signal_Line,MACD_Histogram,Middle_Band,Upper_Band,Lower_Band
daily,2023-03-27 09:00:00,37156000.0,37282000.0,35444000.0,36110000.0,6840.88977652,249875271589.22964,36808600.0,36608700.05785139,36793100.0,36104039.45886135,33752800.0,34752922.93612116,,,,,,,0,55.63286338248791,62.51047316157806,63.25451818720347,79.5824173671483,84.2344892430928,1707725.2450905666,1535426.6150865166,172298.63000404998,33752800.0,41249718.429384306,26255881.57061569
daily,2023-03-28 09:00:00,36124000.0,36220000.0,35230000.0,36026000.0,5170.6862286,184980826507.75577,36559000.0,36414466.70523426,36819000.0,36089850.4663411,34102950.0,34874168.37077629,,,,,,,0,54.51185952773136,61.89165588282492,62.78725377190399,72.11412175748627,79.23227688882578,1599114.5223549008,1548164.1965401934,50950.32581470744,34102950.0,41318610.0595328,26887289.9404672
daily,2023-03-29 09:00:00,36020000.0,37750000.0,36006000.0,37401000.0,6442.79756739,239192644749.08286,36689400.0,36743311.13682284,36835800.0,36328241.290642716,34592800.0,35114819.002130926,,,,,,,0,67.15206149794943,67.55380735537194,66.97967756691641,70.97919866004868,74.22524592822775,1605483.7336320356,1559628.103958562,45855.62967347354,34592800.0,41260144.38099134,27925455.619008657
daily,2023-03-30 09:00:00,37402000.0,38424000.0,36800000.0,37157000.0,7063.16532492,266205274097.5543,36770800.0,36881207.42454857,36822000.0,36478924.69234404,35083500.0,35309312.43049941,,,,,,,0,63.49900278280563,65.68861627371858,65.60256108075487,73.92786997912143,72.34039679888546,1572713.3580385372,1562245.154774557,10468.203263980104,35083500.0,40893723.78407688,29273276.215923123
daily,2023-03-31 09:00:00,37157000.0,37771000.0,36596000.0,37540000.0,5856.70049497,218147431537.82828,36846800.0,37100804.949699044,36853900.0,36671847.47555421,35573650.0,35521758.86568994,,,,,,,0,66.8058532015325,67.21862630699812,66.72996396834154,77.06682192026108,73.99129685314374,1559668.609547466,1561729.845729139,-2061.2361816728953,35573650.0,40333398.258491255,30813901.741508745
daily,2023-04-01 09:00:00,37540000.0,37950000.0,37449000.0,37585000.0,2923.33995312,110077447102.04233,37141800.0,37262203.29979937,36975200.0,36837875.20727163,35992950.0,35718258.021338515,,,,,,,0,67.2130194526685,67.40255017620584,66.86394916603165,73.77610912081282,74.92360034006511,1535264.107344523,1556436.6980522159,-21172.590707692783,35992950.0,39762784.08681407,32223115.91318593
daily,2023-04-02 09:00:00,37596000.0,37700000.0,37000000.0,37301000.0,3827.71480818,143258083412.21802,37396800.0,37275135.53319958,36977900.0,36922079.715040416,36274200.0,35868995.35263961,,,,,,,0,61.64547042539414,64.92669766502823,65.12593759208603,70.29847630974744,73.71380245027377,1475992.6129422784,1540347.8810302285,-64355.26808795007,36274200.0,39485962.56578025,33062437.434219744
daily,2023-04-03 09:00:00,37296000.0,37768000.0,36378000.0,36814000.0,5344.45562792,198293264588.4846,37279400.0,37121423.688799724,36984400.0,36902428.85776034,36490400.0,35958995.79524536,,,,,,,0,52.88200343744572,60.80227134946985,62.21421378075189,62.721769985389265,68.93211847198317,1373885.4009411782,1507055.3850124185,-133169.9840712403,36490400.0,39167185.37763018,33813614.62236982
daily,2023-04-04 09:00:00,36814000.0,37552000.0,36660000.0,37205000.0,3443.09664449,127944475381.00664,37289000.0,37149282.459199816,37029900.0,36957441.792713,36725100.0,36077662.86236485,,,,,,,0,58.41888800105952,62.84312514894696,63.58665532731064,58.75600083489877,63.925415710011826,1309420.9425250292,1467528.4965149406,-158107.55398991145,36725100.0,38650440.806468464,34799759.193531536
daily,2023-04-05 09:00:00,37207000.0,37804000.0,36948000.0,37139000.0,4804.31754606,179846638163.42435,37208800.0,37145854.97279988,37027800.0,36990452.37585609,36915300.0,36178742.58975867,,,,,,,0,57.097561392075534,62.25391593644552,63.179930191966484,57.06533082863702,59.51436721630836,1238727.4672129527,1421768.290654543,-183040.82344159042,36915300.0,37997497.19965789,35833102.80034211
daily,2023-04-06 09:00:00,37139000.0,37211000.0,36800000.0,37058000.0,3265.19567389,120836048137.67725,37103400.0,37116569.98186659,37122600.0,37002733.76206407,36957850.0,36262481.39073404,,,,,33294400.0,,0,55.30645817039902,61.49191494052222,62.66341927883401,59.61177207263619,58.477701245390655,1162762.7504617423,1369967.1826159828,-207204.43215424055,36957850.0,37988478.88823434,35927221.11176566
daily,2023-04-07 09:00:00,37058000.0,37200000.0,36890000.0,36993000.0,2191.38552697,81178209965.33653,37041800.0,37075379.98791106,37219300.0,37000963.98714332,37019150.0,36332054.59161651,,,,,33425240.0,,0,53.72854443183607,60.84826448495077,62.2347219762964,57.399290336046754,58.02546441243999,1084810.191748269,1312935.7844424401,-228125.59269417124,37019150.0,37884067.221472666,36154232.778527334
daily,2023-04-08 09:00:00,36993000.0,37249000.0,36930000.0,37080000.0,3044.98722943,113009710987.63667,37095000.0,37076919.99194071,37187200.0,37015334.17129908,37011500.0,36403287.48765303,,,,,33534020.0,,0,55.70207335512167,61.430193620018905,62.59436274314291,56.78355249426007,57.931538300981,1018313.9113687873,1254011.4098277097,-235697.49845892237,37011500.0,37871143.622610405,36151856.377389595
daily,2023-04-09 09:00:00,37064000.0,37576000.0,36878000.0,37313000.0,3846.31215562,142853508974.9475,37116600.0,37155613.32796048,37202800.0,37069455.23106288,37012400.0,36489926.77454322,,,,,33644500.0,,0,60.911212851070616,63.01566444796653,63.56994090896895,59.44479231893133,57.875878383079375,973197.8636484668,1197848.7005918613,-224650.8369433945,37012400.0,37873330.07234832,36151469.92765168
daily,2023-04-10 09:00:00,37331000.0,39183000.0,37255000.0,38985000.0,6752.314109,256656019241.78787,37485800.0,37765408.885306984,37347300.0,37417736.098142356,37100600.0,36727552.79601529,,,,,33795500.0,,0,80.30281952866385,71.93201396182094,69.5531828458965,72.7094260292733,62.97925694748824,1060138.8762476593,1170306.735723021,-110167.85947536165,37100600.0,38332864.05235925,35868335.94764075
daily,2023-04-11 09:00:00,38981000.0,40260000.0,38903000.0,40004000.0,8105.88458258,321712753050.3061,38075000.0,38511605.92353799,37589200.0,37887965.89848011,37282200.0,37039595.38687098,,,,,33957920.0,,0,85.43897574421182,75.76650640281024,72.44881977199822,84.72977016104285,72.29466283641582,1197461.4487826675,1175737.6783349502,21723.77044771728,37282200.0,39026487.34957711,35537912.65042289
daily,2023-04-12 09:00:00,40005000.0,40610000.0,39567000.0,39699000.0,10654.2856421,426143578387.0856,38616200.0,38907403.94902533,37829000.0,38217244.82602918,37403450.0,37292872.016692795,,,,,34117180.0,,0,78.30854509298611,72.57078582848338,70.34621382071519,89.14893846613917,82.19604488548511,1267073.5902413502,1194004.8607162302,73068.72952512,37403450.0,39455349.29731353,35351550.70268647
daily,2023-04-13 09:00:00,39694000.0,40198000.0,39689000.0,39911000.0,5171.072562,206204734897.69592,39182400.0,39241935.96601689,38138700.0,38525200.312205695,37561550.0,37542217.53891253,,,,,34283020.0,,0,79.68350882320793,73.4102955907297,70.96129042524315,85.31288540027118,86.39719800915107,1324085.1131478176,1220020.9112025478,104064.20194526971,37561550.0,39872096.57238453,35251003.42761547
daily,2023-04-14 09:00:00,39912000.0,40333000.0,39470000.0,39804000.0,5561.14402059,222612318707.21445,39680600.0,39429290.64401126,38398600.0,38757709.34635011,37714250.0,37757625.39234943,,,,,34451140.0,,0,76.81635520124647,72.20903691312509,70.18974774757828,80.97038437303087,85.14406941314708,1345127.3591497764,1245042.2007919936,100085.15835778276,37714250.0,40196273.527179725,35232226.472820275
daily,2023-04-15 09:00:00,39804000.0,39999000.0,39752000.0,39800000.0,1938.56058099,77290046948.21619,39843600.0,39552860.42934084,38664700.0,38947216.73792282,37846250.0,37952137.25974472,,,,,34629600.0,,0,76.69599630123523,72.16149835507957,70.15980495270375,81.76591052299938,82.68306009876714,1345965.2742892057,1265226.815491436,80738.45879776962,37846250.0,40480309.254818454,35212190.745181546
daily,2023-04-16 09:00:00,39800000.0,39981000.0,39600000.0,39607000.0,2393.49528179,95129039158.06377,39764200.0,39570906.9528939,38919600.0,39067177.33102776,38021100.0,38109743.23500713,34231933.333333336,34231933.333333336,,,34802560.0,,0,70.47968736963966,69.77460062103013,68.67555364725911,79.37145557655954,80.70258349086326,1315887.1135091186,1275358.8750949726,40528.238414146006,38021100.0,40634063.624940686,35408136.375059314
daily,2023-04-17 09:00:00,39612000.0,39673000.0,38506000.0,38700000.0,5420.85725888,211322564966.88364,39564400.0,39280604.6352626,39090300.0,39000417.81629544,38154800.0,38165958.16500645,34369416.666666664,34378427.32240437,,,34950980.0,,0,48.795732126439106,59.769083731232314,62.18415770360211,69.60176832332321,76.91304480762737,1204972.462031737,1261281.5924823256,-56309.13045058865,38154800.0,40606607.80563842,35702992.19436158
daily,2023-04-18 09:00:00,38700000.0,39847000.0,38251000.0,39630000.0,4976.83151258,195160536131.7183,39508200.0,39397069.756841734,39345300.0,39114887.30424172,38266250.0,38305390.72072013,34502566.666666664,34550610.033145204,,,35118480.0,,0,62.571119535149705,65.26860342842707,65.67705222197867,67.40780225717221,72.12700871901832,1178529.6728453934,1244731.2085549391,-66201.53570954571,38266250.0,40775749.667054646,35756750.332945354
daily,2023-04-19 09:00:00,39637000.0,39719000.0,38181000.0,38300000.0,6118.4824719,238289754029.4149,39207400.0,39031379.83789449,39444000.0,38966725.976197764,38323400.0,38304877.31874678,34611083.333333336,34673540.85173061,,,35264000.0,,0,43.186380786059644,53.91728667766268,57.677331218084085,55.09795452783592,64.03584170277712,1038284.9841911867,1203441.9636821887,-165156.97949100193,38323400.0,40777995.12365128,35868804.87634872
daily,2023-04-20 09:00:00,38300000.0,38572000.0,37400000.0,37672000.0,5515.28188385,209814128286.94632,38781800.0,38578253.225263,39312700.0,38731321.253252715,38330000.0,38244603.28838994,34715033.333333336,34771850.987739444,,,35395320.0,,0,36.89051405799632,49.53642751654753,54.39261090271706,44.9745831610277,55.82677998201194,866477.4932605028,1136049.0695978515,-269571.57633734867,38330000.0,40776422.17813774,35883577.82186226
daily,2023-04-21 09:00:00,37672000.0,37779000.0,36108000.0,36337000.0,5934.6195108,219819426308.00406,38127800.0,37831168.816842005,38946000.0,38295990.11629767,38267600.0,38062926.78473376,34789266.666666664,34823167.348797165,,,35499880.0,,0,27.094353064470912,41.767274056243956,48.25816971672962,21.910720808415295,40.661086165759635,615500.3708132654,1031939.3298409343,-416438.9590276688,38267600.0,40853709.0789874,35681490.9210126
daily,2023-04-22 09:00:00,36337000.0,37318000.0,36055000.0,37182000.0,3716.22462639,135958058418.51756,37824200.0,37614779.211228006,38694300.0,38093446.458789006,38261650.0,37979028.9957115,34880033.333333336,34900506.12424644,,,35649340.0,,0,39.04687193146241,47.39152694995792,51.86604403061092,17.03470846583079,27.973337478424593,479259.03133678436,921403.2701401043,-442144.23880332,38261650.0,40857651.5631331,35665648.4368669
daily,2023-04-23 09:00:00,37182000.0,37198000.0,36524000.0,36802000.0,1942.10468086,71532980980.62617,37258600.0,37343852.80748534,38383400.0,37858638.01173646,38261050.0,37866930.996119924,34966416.666666664,34962850.18574656,,,35788620.0,,0,35.95428049251175,45.2738639320807,50.21278792803449,15.40941026657584,18.11827984694064,336742.2094525099,804471.0580025855,-467728.84855007567,38261050.0,40858465.51506391,35663634.48493609
daily,2023-04-24 09:00:00,36802000.0,37297000.0,36200000.0,36750000.0,3663.66031754,134682438925.48883,36948600.0,37145901.871656895,38078000.0,37657067.46414801,38238300.0,37760556.61553708,35055616.666666664,35021445.26162372,,,35923980.0,,0,35.50533210381611,44.97768261748187,49.98386153743274,18.799853640687896,17.081324124364844,217098.0645636618,686996.4593148009,-469898.3947511391,38238300.0,40882215.52536444,35594384.47463556
daily,2023-04-25 09:00:00,36750000.0,38123000.0,36359000.0,37877000.0,4364.40529023,161727492892.94626,36989600.0,37389601.24777126,37885700.0,37697055.19793928,38275200.0,37771646.461676404,35172283.333333336,35115070.00714425,,,36086140.0,,0,50.981764392896565,52.26623153809453,54.685297553561114,23.88583973655324,19.36503454793899,210788.85629389435,591754.9387106196,-380966.0824167252,38275200.0,40874743.247329585,35675656.752670415
daily,2023-04-26 09:00:00,37877000.0,39850000.0,36749000.0,38017000.0,9856.33566991,379352444364.5263,37325600.0,37598734.16518085,37726700.0,37755226.98013213,38323150.0,37795013.465326265,35289916.666666664,35210215.252811655,,,36254900.0,,0,52.629200810859125,53.09739785741719,55.23415626844095,33.70683696075549,25.46417677933221,214611.68336124718,516326.2876407451,-301714.60427949793,38323150.0,40862848.554428935,35783451.445571065
daily,2023-04-27 09:00:00,38020000.0,39730000.0,37959000.0,39258000.0,6531.80659225,254468276014.8507,37740800.0,38151822.77678724,37782500.0,38028458.438289925,38436400.0,37934345.51624757,35422900.0,35342929.50681783,,,36459600.0,,0,64.84722826757763,59.78246920073445,59.769497177599035,53.57799594826243,37.05689088185705,314158.20960077643,475892.6720327514,-161734.46243197494,38436400.0,40927899.68788616,35944900.31211384
daily,2023-04-28 09:00:00,39271000.0,39500000.0,38711000.0,39083000.0,3370.00926689,131889232337.99864,38197000.0,38462215.18452483,37727800.0,38220193.267691754,38536550.0,38043741.18136685,35553366.666666664,35465554.76888938,,,36689180.0,,0,62.20757599159416,58.51588565533235,58.886149069353735,65.83627857165662,51.040370493558186,374610.23774170876,455636.1851745429,-81025.94743283413,38536550.0,40958538.35018277,36114561.64981723
daily,2023-04-29 09:00:00,39083000.0,39247000.0,38800000.0,38965000.0,1753.92555964,68531904105.31125,38640000.0,38629810.12301655,37794300.0,38355612.67356598,38619150.0,38131480.11647477,35685716.666666664,35580290.67810612,,,36921620.0,,0,60.277384269529996,57.62927732315408,58.276362333107016,75.25584203857154,64.8900388528302,408290.76990065724,446167.10211976577,-37876.33221910853,38619150.0,40977279.07775813,36261020.92224187
daily,2023-04-30 09:00:00,38980000.0,39830000.0,38809000.0,39149000.0,3356.94485899,131846575612.99454,38894400.0,38802873.41534437,37942000.0,38499864.914735794,38627350.0,38228386.77204861,35819766.666666664,35697297.54111903,,,37149860.0,,0,62.39979756919391,58.68059173572013,58.97197982588041,77.4748058704386,72.85564216022226,444703.8276331574,445874.4472224441,-1170.61958928674,38627350.0,40991967.274027996,36262732.725972004
